Time,Ciudad Vieja,Punta Carretas,Curva de Maroñas,La Blanqueada,Prado,Lezica,Casavalle,Carrasco,Manga,Cerro,Malvín,La Esperanza,Santiago Vázquez,Colón,Paso de la Arena,Chacarita
2025-01-18 17:24:42,,,,,,,,,,,,0.00,,,,
2025-01-18 17:24:47,,,,,,,,,0.00,,,,,,,
2025-01-18 17:25:00,,,,,,,,,,0.00,,,,,,
2025-01-18 17:25:14,,,,,,0.00,,,,,,,,,,
2025-01-18 17:25:48,,,,,,,0.00,,,,,,,,,
2025-01-18 17:25:53,,,,0.00,,,,,,,,,,,,
2025-01-18 17:26:04,,,0.00,,,,,,,,,,,,,
2025-01-18 17:26:09,,,,,,,,,,,,,,0.00,,
2025-01-18 17:26:21,,,,,,,,,,,,,,,0.00,
2025-01-18 17:26:22,,0.00,,,,,,,,,,,,,,
2025-01-18 17:27:08,0.00,,,,,,,,,,,,,,,
2025-01-18 17:27:37,,,,,,,,0.00,,,,,,,,
2025-01-18 17:27:40,,,,,0.00,,,,,,,,,,,
2025-01-18 17:27:42,,,,,,,,,,,0.00,,,,,
2025-01-18 17:27:43,,,,,,,,,,,,,0.00,,,
2025-01-18 17:29:42,,,,,,,,,,,,0.00,,,,
2025-01-18 17:29:47,,,,,,,,,0.00,,,,,,,
2025-01-18 17:30:00,,,,,,,,,,0.00,,,,,,
2025-01-18 17:30:14,,,,,,0.00,,,,,,,,,,
2025-01-18 17:30:48,,,,,,,0.00,,,,,,,,,
2025-01-18 17:30:53,,,,0.00,,,,,,,,,,,,
2025-01-18 17:31:04,,,0.00,,,,,,,,,,,,,
2025-01-18 17:31:09,,,,,,,,,,,,,,0.00,,
2025-01-18 17:31:21,,,,,,,,,,,,,,,0.00,
2025-01-18 17:31:22,,0.00,,,,,,,,,,,,,,
2025-01-18 17:32:08,0.00,,,,,,,,,,,,,,,
2025-01-18 17:32:37,,,,,,,,0.00,,,,,,,,
2025-01-18 17:32:40,,,,,0.00,,,,,,,,,,,
2025-01-18 17:32:42,,,,,,,,,,,0.00,,,,,
2025-01-18 17:32:43,,,,,,,,,,,,,0.00,,,
2025-01-18 17:34:42,,,,,,,,,,,,0.00,,,,
2025-01-18 17:34:47,,,,,,,,,0.00,,,,,,,
2025-01-18 17:35:00,,,,,,,,,,0.00,,,,,,
2025-01-18 17:35:14,,,,,,0.00,,,,,,,,,,
2025-01-18 17:35:48,,,,,,,0.00,,,,,,,,,
2025-01-18 17:35:53,,,,0.00,,,,,,,,,,,,
2025-01-18 17:36:04,,,0.00,,,,,,,,,,,,,
2025-01-18 17:36:09,,,,,,,,,,,,,,0.00,,
2025-01-18 17:36:21,,,,,,,,,,,,,,,0.00,
2025-01-18 17:36:22,,0.00,,,,,,,,,,,,,,
2025-01-18 17:37:10,0.00,,,,,,,,,,,,,,,
2025-01-18 17:37:37,,,,,,,,0.00,,,,,,,,
2025-01-18 17:37:40,,,,,0.00,,,,,,,,,,,
2025-01-18 17:37:42,,,,,,,,,,,0.00,,,,,
2025-01-18 17:37:43,,,,,,,,,,,,,0.00,,,
2025-01-18 17:39:42,,,,,,,,,,,,0.00,,,,
2025-01-18 17:39:47,,,,,,,,,0.00,,,,,,,
2025-01-18 17:40:00,,,,,,,,,,0.00,,,,,,
2025-01-18 17:40:14,,,,,,0.00,,,,,,,,,,
2025-01-18 17:40:48,,,,,,,0.00,,,,,,,,,
2025-01-18 17:40:53,,,,0.00,,,,,,,,,,,,
2025-01-18 17:41:04,,,0.00,,,,,,,,,,,,,
2025-01-18 17:41:09,,,,,,,,,,,,,,0.00,,
2025-01-18 17:41:21,,,,,,,,,,,,,,,0.00,
2025-01-18 17:41:22,,0.00,,,,,,,,,,,,,,
2025-01-18 17:42:04,0.00,,,,,,,,,,,,,,,
2025-01-18 17:42:37,,,,,,,,0.00,,,,,,,,
2025-01-18 17:42:40,,,,,0.00,,,,,,,,,,,
2025-01-18 17:42:42,,,,,,,,,,,0.00,,,,,
2025-01-18 17:42:43,,,,,,,,,,,,,0.00,,,
2025-01-18 17:44:42,,,,,,,,,,,,0.00,,,,
2025-01-18 17:44:47,,,,,,,,,0.00,,,,,,,
2025-01-18 17:45:00,,,,,,,,,,0.00,,,,,,
2025-01-18 17:45:14,,,,,,0.00,,,,,,,,,,
2025-01-18 17:45:48,,,,,,,0.00,,,,,,,,,
2025-01-18 17:45:53,,,,0.00,,,,,,,,,,,,
2025-01-18 17:46:04,,,0.00,,,,,,,,,,,,,
2025-01-18 17:46:09,,,,,,,,,,,,,,0.00,,
2025-01-18 17:46:21,,,,,,,,,,,,,,,0.00,
2025-01-18 17:46:22,,0.00,,,,,,,,,,,,,,
2025-01-18 17:47:04,0.00,,,,,,,,,,,,,,,
2025-01-18 17:47:37,,,,,,,,0.00,,,,,,,,
2025-01-18 17:47:40,,,,,0.00,,,,,,,,,,,
2025-01-18 17:47:42,,,,,,,,,,,0.00,,,,,
2025-01-18 17:47:43,,,,,,,,,,,,,0.00,,,
2025-01-18 17:49:42,,,,,,,,,,,,0.00,,,,
2025-01-18 17:49:47,,,,,,,,,0.00,,,,,,,
2025-01-18 17:50:00,,,,,,,,,,0.00,,,,,,
2025-01-18 17:50:14,,,,,,0.00,,,,,,,,,,
2025-01-18 17:50:49,,,,,,,0.00,,,,,,,,,
2025-01-18 17:50:53,,,,0.00,,,,,,,,,,,,
2025-01-18 17:51:04,,,0.00,,,,,,,,,,,,,
2025-01-18 17:51:09,,,,,,,,,,,,,,0.00,,
2025-01-18 17:51:21,,,,,,,,,,,,,,,0.00,
2025-01-18 17:51:25,,0.00,,,,,,,,,,,,,,
2025-01-18 17:52:04,0.00,,,,,,,,,,,,,,,
2025-01-18 17:52:37,,,,,,,,0.00,,,,,,,,
2025-01-18 17:52:40,,,,,0.00,,,,,,,,,,,
2025-01-18 17:52:42,,,,,,,,,,,0.00,,,,,
2025-01-18 17:52:43,,,,,,,,,,,,,0.00,,,
2025-01-18 17:54:42,,,,,,,,,,,,0.00,,,,
2025-01-18 17:54:47,,,,,,,,,0.00,,,,,,,
2025-01-18 17:55:00,,,,,,,,,,0.00,,,,,,
2025-01-18 17:55:14,,,,,,0.00,,,,,,,,,,
2025-01-18 17:55:49,,,,,,,0.00,,,,,,,,,
2025-01-18 17:55:53,,,,0.00,,,,,,,,,,,,
2025-01-18 17:56:04,,,0.00,,,,,,,,,,,,,
2025-01-18 17:56:09,,,,,,,,,,,,,,0.00,,
2025-01-18 17:56:21,,,,,,,,,,,,,,,0.00,
2025-01-18 17:56:22,,0.00,,,,,,,,,,,,,,
2025-01-18 17:57:05,0.00,,,,,,,,,,,,,,,
2025-01-18 17:57:37,,,,,,,,0.00,,,,,,,,
2025-01-18 17:57:40,,,,,0.00,,,,,,,,,,,
2025-01-18 17:57:42,,,,,,,,,,,0.00,,,,,
2025-01-18 17:57:43,,,,,,,,,,,,,0.00,,,
2025-01-18 17:59:42,,,,,,,,,,,,0.00,,,,
2025-01-18 17:59:47,,,,,,,,,0.00,,,,,,,
2025-01-18 18:00:00,,,,,,,,,,0.00,,,,,,
2025-01-18 18:00:14,,,,,,0.00,,,,,,,,,,
2025-01-18 18:00:49,,,,,,,0.00,,,,,,,,,
2025-01-18 18:00:53,,,,0.00,,,,,,,,,,,,
2025-01-18 18:01:05,,,0.00,,,,,,,,,,,,,
2025-01-18 18:01:09,,,,,,,,,,,,,,0.00,,
2025-01-18 18:01:21,,,,,,,,,,,,,,,0.00,
2025-01-18 18:01:22,,0.00,,,,,,,,,,,,,,
2025-01-18 18:02:04,0.00,,,,,,,,,,,,,,,
2025-01-18 18:02:38,,,,,,,,0.00,,,,,,,,
2025-01-18 18:02:40,,,,,0.00,,,,,,,,,,,
2025-01-18 18:02:42,,,,,,,,,,,0.00,,,,,
2025-01-18 18:02:43,,,,,,,,,,,,,0.00,,,
2025-01-18 18:04:42,,,,,,,,,,,,0.00,,,,
2025-01-18 18:04:47,,,,,,,,,0.00,,,,,,,
2025-01-18 18:05:00,,,,,,,,,,0.00,,,,,,
2025-01-18 18:05:14,,,,,,0.00,,,,,,,,,,
2025-01-18 18:05:49,,,,,,,0.00,,,,,,,,,
2025-01-18 18:05:53,,,,0.00,,,,,,,,,,,,
2025-01-18 18:06:05,,,0.00,,,,,,,,,,,,,
2025-01-18 18:06:09,,,,,,,,,,,,,,0.00,,
2025-01-18 18:06:21,,,,,,,,,,,,,,,0.00,
2025-01-18 18:06:22,,0.00,,,,,,,,,,,,,,
2025-01-18 18:07:04,0.00,,,,,,,,,,,,,,,
2025-01-18 18:07:38,,,,,,,,0.00,,,,,,,,
2025-01-18 18:07:41,,,,,0.00,,,,,,,,,,,
2025-01-18 18:07:42,,,,,,,,,,,0.00,,,,,
2025-01-18 18:07:43,,,,,,,,,,,,,0.00,,,
2025-01-18 18:09:43,,,,,,,,,,,,0.00,,,,
2025-01-18 18:09:47,,,,,,,,,0.00,,,,,,,
2025-01-18 18:10:00,,,,,,,,,,0.00,,,,,,
2025-01-18 18:10:14,,,,,,0.00,,,,,,,,,,
2025-01-18 18:10:49,,,,,,,0.00,,,,,,,,,
2025-01-18 18:10:53,,,,0.00,,,,,,,,,,,,
2025-01-18 18:11:05,,,0.00,,,,,,,,,,,,,
2025-01-18 18:11:09,,,,,,,,,,,,,,0.00,,
2025-01-18 18:11:21,,,,,,,,,,,,,,,0.00,
2025-01-18 18:11:23,,0.00,,,,,,,,,,,,,,
2025-01-18 18:12:05,0.00,,,,,,,,,,,,,,,
2025-01-18 18:12:38,,,,,,,,0.00,,,,,,,,
2025-01-18 18:12:41,,,,,0.00,,,,,,,,,,,
2025-01-18 18:12:42,,,,,,,,,,,0.00,,,,,
2025-01-18 18:12:43,,,,,,,,,,,,,0.00,,,
2025-01-18 18:14:43,,,,,,,,,,,,0.00,,,,
2025-01-18 18:14:47,,,,,,,,,0.00,,,,,,,
2025-01-18 18:15:00,,,,,,,,,,0.00,,,,,,
2025-01-18 18:15:14,,,,,,0.00,,,,,,,,,,
2025-01-18 18:15:49,,,,,,,0.00,,,,,,,,,
2025-01-18 18:15:53,,,,0.00,,,,,,,,,,,,
2025-01-18 18:16:05,,,0.00,,,,,,,,,,,,,
2025-01-18 18:16:09,,,,,,,,,,,,,,0.00,,
2025-01-18 18:16:21,,,,,,,,,,,,,,,0.00,
2025-01-18 18:16:23,,0.00,,,,,,,,,,,,,,
2025-01-18 18:17:06,0.00,,,,,,,,,,,,,,,
2025-01-18 18:17:38,,,,,,,,0.00,,,,,,,,
2025-01-18 18:17:41,,,,,0.00,,,,,,,,,,,
2025-01-18 18:17:42,,,,,,,,,,,0.00,,,,,
2025-01-18 18:17:43,,,,,,,,,,,,,0.00,,,
2025-01-18 18:19:43,,,,,,,,,,,,0.00,,,,
2025-01-18 18:19:47,,,,,,,,,0.00,,,,,,,
